router,granularity,model,horizon_hours,training_time_sec,MAE,RMSE,sMAPE,R2,MSLE,P99_abs_error
dallas,2H,gru_only,6,0.3254694938659668,1023201746.1818181,1037620533.7414899,121.69512712596816,-34.47900097028579,2.4620350912303994,1249461981.7599995
dallas,2H,gru_only,12,0.3254694938659668,619527212.3636364,644938679.494746,99.07338565472982,-13.217894780553923,1.5664653075740642,917813995.8399999
dallas,2H,gru_only,24,0.3254694938659668,1105736126.961039,1118126254.4525738,125.40007868063665,-42.56924396194791,2.6442337535291545,1316404133.12
dallas,2H,lstm_only,1,0.4613070487976074,913889720.8311689,931290729.1496936,116.40876068167245,-27.30865737082452,2.2288423082994813,1145285629.12
dallas,2H,lstm_only,6,0.4613070487976074,1296052321.142857,1307733361.1594768,132.07607599532741,-55.35502844322466,3.035712859600231,1516154087.9999995
dallas,2H,lstm_only,12,0.4613070487976074,1099686458.4935064,1114027020.9349055,125.46703331471183,-41.42187867034735,2.653533056068804,1421470075.2
dallas,2H,lstm_only,24,0.4613070487976074,1237488159.3766234,1248854383.6638129,130.3290480694901,-53.352802127587346,2.9213788937026073,1455781920.6399999
dallas,2H,nhits,1,0.19105005264282227,300736841.45454544,399870518.20239353,63.74728963459195,-4.219002245818355,0.8462386300322615,1186761360.9599996
dallas,2H,nhits,6,0.19105005264282227,639673477.5064934,690396177.9574296,98.43279931812141,-14.706919725914334,1.4624174135023926,1803586023.679999
dallas,2H,nhits,12,0.19105005264282227,809553707.3246753,838964496.2327278,110.93368245584436,-23.05944543910943,2.004082816099231,1138910774.08
dallas,2H,nhits,24,0.19105005264282227,670650567.2727273,685941004.5439509,102.57400189991743,-15.397281927775936,1.6242951835781103,936351673.5999997
dallas,4H,hybrid_gru_lstm,1,0.29253292083740234,824048069.1282052,850199483.7274308,74.2339127974309,-40.938500208128524,0.6594872732114602,1552149439.6799977
dallas,4H,hybrid_gru_lstm,6,0.29253292083740234,824048069.1282052,850199483.7274308,74.2339127974309,-40.938500208128524,0.6594872732114602,1552149439.6799977
dallas,4H,hybrid_gru_lstm,12,0.29253292083740234,580629262.9743592,623210388.2645668,58.89074197818093,-19.436965483034438,0.42745025086228894,1385697642.5600002
dallas,4H,hybrid_gru_lstm,24,0.29253292083740234,999189825.8461539,1026440692.18501,84.12307577575993,-54.770033512392594,0.8724411457380682,1829641827.5199993
dallas,4H,gru_only,1,0.3362846374511719,1717753324.5128205,1724170653.1035137,110.38120100795635,-171.4772102290821,1.603047327649492,2046535098.0799994
dallas,4H,gru_only,6,0.3362846374511719,1717753324.5128205,1724170653.1035137,110.38120100795635,-171.4772102290821,1.603047327649492,2046535098.0799994
